territory_id,state,year,x3_farming,x4_non_vegetated_area,x1_forest,x2_non_forest_natural_formation,x5_water,non_observed
1500800,PA,2001,860.302907830826,5631.65801372063,10687.3950217398,2.85997017211914,1865.59047593993,
1500800,PA,2002,806.05357586061,5759.99717554332,10761.8475575856,4.55805973510742,1715.35002067869,
1500800,PA,2003,769.768624084483,5823.45189575203,10567.36652268,4.91555992431641,1882.30378696288,
1500800,PA,2004,706.045380450448,5839.44974039927,10632.1625606559,5.27305130004883,1864.87565659789,
1500800,PA,2005,706.849591845711,5885.65547404797,10661.2119747675,8.84801267700195,1785.24133606566,
1500800,PA,2006,702.827608624273,5932.84427612918,11019.2536336597,6.07742365112305,1386.80344733886,
1500800,PA,2007,588.787706695557,5992.90286008901,10589.3535001642,8.57987359008789,1868.18244886473,
1500800,PA,2008,584.229784112548,6015.33546563101,10568.7974882807,5.63050237426757,1873.81314900511,
1500800,PA,2009,662.431511779793,6049.02906079097,10478.3520334773,6.79237782592773,1851.20140552977,
1500800,PA,2010,679.502124945076,6075.48333184204,10420.6164572871,8.04362593383789,1864.16084939574,
1500800,PA,2011,663.057881939703,6114.09236377562,10416.4164594233,9.65240889892578,1844.5872753662,
1500800,PA,2012,655.192991748053,6133.12876622923,10381.4713188044,5.27302565307617,1872.74028696898,
1500800,PA,2013,679.234578369148,6181.83707171019,10333.8356943293,5.80924428100586,1847.0898007141,
1500800,PA,2014,605.054948364263,6225.54023197022,10344.5601575311,3.03869218139649,1869.61235935667,
1500800,PA,2015,560.457991595464,6271.03085817252,10343.2194745844,2.94931561279297,1870.14874943846,
1500800,PA,2016,677.180144042973,6289.79920441882,10226.6765264762,2.68119992675781,1851.46931453855,
1500800,PA,2017,692.194805261238,6323.85031715681,10162.4171198053,2.23433184204102,1867.10981533812,
1500800,PA,2018,657.24971238404,6347.1766561583,10173.3207894707,3.12808740234375,1866.93114398802,
1500800,PA,2019,709.175213360607,6344.58483601669,10188.2480820918,5.27304338989258,1800.52521454466,
1500859,PA,2000,60818.2591550271,65.5026154724122,1110976.80851444,7637.52159615469,10033.7228794982,
1500859,PA,2001,65103.1787312965,102.447161224365,1107082.61034143,7308.38536167585,9935.19316497794,
1500859,PA,2002,66533.0967646403,110.746285339356,1105582.24446495,7178.60102645859,10127.12621922,
1500859,PA,2003,81510.3784393818,132.431250415039,1090114.65738319,6827.89900545023,10946.4486821349,
1500859,PA,2004,106769.882806934,188.829759918214,1064941.22235265,6661.07833153057,10970.8015095702,
1500859,PA,2005,129510.396461058,197.842875799561,1042174.58851762,6579.68824302352,11069.2986631286,
1500859,PA,2006,146781.999188587,202.037081616212,1024598.14947328,6577.80674032579,11371.82227677,
1500859,PA,2007,153226.769496932,208.729978918458,1018373.21208731,6852.55820784893,10870.5449895568,
1500859,PA,2008,159083.420826688,228.005463537599,1012493.00722593,6835.21696800519,10892.1642764037,
1500859,PA,2009,167553.307891347,229.968704187013,1004138.2233486,7459.76883395372,10150.5459824828,
1500859,PA,2010,175888.18595039,257.00791567383,995908.290866662,7476.37579849843,10001.9542293578,
1500859,PA,2011,179905.006021279,264.505197839357,991804.893657997,7607.23766245714,9950.17222102653,
1500859,PA,2012,176198.488275347,272.894965515137,995256.430648261,8382.92701551479,9421.07385593859,
1500859,PA,2013,178868.363592449,272.894966845704,992541.429082099,8588.0499258725,9261.07719326778,
1500859,PA,2014,189161.003158978,338.486300775148,982346.256817964,8343.57301601526,9342.49546685171,
1500859,PA,2015,198517.30427288,345.538030114747,972770.460169113,7987.98978099347,9910.52250752551,
