sigla,nome_munic,geocodig_m,imoveis_car,area_car
AM,Borba,1300805,332,1801927.4513
AM,Caapiranga,1300839,16,100763.6303
AM,Canutama,1300904,1310,1293881.4751
AM,Carauari,1301001,446,2087133.8733
AM,Careiro,1301100,1482,201553.9823
AM,Careiro da Várzea,1301159,958,91880.8425
AM,Coari,1301209,262,920080.7334
AM,Codajás,1301308,719,135256.9966
AM,Eirunepé,1301407,83,786969.91
AM,Envira,1301506,401,490354.962
AM,Fonte Boa,1301605,365,1499433.1072
AM,Guajará,1301654,305,101811.3411
AM,Humaitá,1301704,649,1236042.0657
AM,Ipixuna,1301803,126,22674.1734
AM,Iranduba,1301852,744,157102.7495
AM,Itacoatiara,1301902,2448,530303.335
AM,Itamarati,1301951,55,9604.343
AM,Itapiranga,1302009,172,205190.0602
AM,Japurá,1302108,165,45263.9644
AM,Juruá,1302207,68,206080.9645
AM,Jutaí,1302306,179,3018657.4492
AM,Lábrea,1302405,2528,6152109.734
AM,Manacapuru,1302504,534,369009.3159
AM,Manaquiri,1302553,178,98638.9634
AM,Manaus,1302603,2965,456137.9616
AM,Manicoré,1302702,838,1527907.3657
AM,Maraã,1302801,45,8096.1545
AM,Maués,1302900,919,2386323.6416
AM,Nhamundá,1303007,871,81377.1281
AM,Nova Olinda do Norte,1303106,197,490976.9324
AM,Novo Airão,1303205,157,50315.7064
AM,Novo Aripuanã,1303304,1649,4525755.846
AM,Parintins,1303403,2403,245582.8335
AM,Pauini,1303502,339,1664186.9179
AM,Presidente Figueiredo,1303536,1868,2285636.9078
AM,Rio Preto da Eva,1303569,1718,275444.3834
AM,Santa Isabel do Rio Negro,1303601,4,90.4375
AM,Santo Antônio do Içá,1303700,256,144404.8125
AM,São Gabriel da Cachoeira,1303809,22,3062.4999
AM,São Paulo de Olivença,1303908,58,11182.4589
AM,São Sebastião do Uatumã,1303957,243,469501.0071
AM,Silves,1304005,484,122262.6036
AM,Tabatinga,1304062,128,21897.1802
AM,Tapauá,1304104,111,1193630.0547
AM,Tefé,1304203,405,1045498.8534
AM,Tonantins,1304237,34,2867.9246
AM,Uarini,1304260,23,7692.7191
AM,Urucará,1304302,1171,72942.0914
AM,Urucurituba,1304401,189,17114.9524
AP,Amapá,1600105,177,233557.423
AP,Calçoene,1600204,220,230763.1441
AP,Cutias,1600212,170,74888.4454
AP,Ferreira Gomes,1600238,279,268842.9874
AP,Itaubal,1600253,148,69488.7845
AP,Laranjal do Jari,1600279,180,950711.5687
AP,Macapá,1600303,755,225347.2498
AP,Mazagão,1600402,253,746998.0805
AP,Oiapoque,1600501,72,46445.8715
